handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,packageLength,packageWidth,packageHeight,packageUnit,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_01b74fe8-d779-4b79-9454-8dab54a1648f,MEDIA,,,,,,5bdc9f_7885e8ccb5bd4768a63f9ad5adf94cea~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_bda613b5-45e9-493e-b389-cef043ee4f49,PRODUCT,Fiber Base - Milky Beige,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)"">&nbsp;15 ml.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">La base gel </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">professionnelle Purple Professional Fiber Base Milky Beige</span><span style=""color: rgba(74, 74, 74, 0.75)""> est un gel de base renforcé de fibres, d'une délicate teinte beige laiteux, conçu pour allier </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">résistance, flexibilité et un fini naturel.</span><span style=""color: rgba(74, 74, 74, 0.75)""> Enrichie en </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">fibre de verre, vitamine E et calcium</span><span style=""color: rgba(74, 74, 74, 0.75)""> , sa formule auto-nivelante comble les stries, lisse les imperfections et renforce les ongles fragiles ou cassants.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">Sa teinte beige naturelle offre une couvrance subtile et un rendu net et élégant, idéal pour </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">les manucures nude, les superpositions ou comme base fortifiante.</span><span style=""color: rgba(74, 74, 74, 0.75)""> Elle permet également la pose </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">d'extensions jusqu'à 2-3 mm</span><span style=""color: rgba(74, 74, 74, 0.75)""> avec des chablons, ce qui la rend parfaite pour les professionnels comme pour les personnes expérimentées souhaitant des ongles impeccables et résistants à domicile.</span></p>",purple;fiber-base,purple,,,,,12.75,,,,,,8.92,3,false,,,,5600920734921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_bda613b5-45e9-493e-b389-cef043ee4f49,MEDIA,,,,,,5bdc9f_ead6f74fdd31491e97ab0f9596723597~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_bda613b5-45e9-493e-b389-cef043ee4f49,MEDIA,,,,,,5bdc9f_9571b92cbdc44708a98341e12aa6ccde~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_541a2e89-91b6-49e6-a59c-6d79fe730de4,PRODUCT,Fiber Base - Nude Pink Shimmer,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)""> 15 ml.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">La base gel </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">professionnelle Purple Professional Fiber Base Nude Pink Shimmer</span><span style=""color: rgba(74, 74, 74, 0.75)""> est un gel de base renforcé de fibres, d'une délicate teinte rose nude et au fini subtilement nacré. Enrichie en </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">fibre de verre, vitamine E et calcium</span><span style=""color: rgba(74, 74, 74, 0.75)""> , elle allie résistance, souplesse et élégance, renforçant les ongles fragiles ou abîmés tout en leur apportant une touche de brillance subtile.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">Sa texture auto-nivelante comble les stries, lisse les imperfections et offre une base impeccable pour </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">les vernis semi-permanents, les gels de construction, l'acrylique ou les systèmes hybrides.</span><span style=""color: rgba(74, 74, 74, 0.75)""> Sa teinte rose nude scintillante crée un effet lumineux et naturel, idéal pour </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">les manucures nude, les recouvrements ou les extensions courtes jusqu'à 2-3 mm</span><span style=""color: rgba(74, 74, 74, 0.75)""> réalisées avec des chablons.</span></p>",purple;fiber-base,purple,,,,,12.75,,,,,,8.25,3,false,,,,5600920738349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_541a2e89-91b6-49e6-a59c-6d79fe730de4,MEDIA,,,,,,5bdc9f_53b1345891eb443596682f60ddfea213~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_541a2e89-91b6-49e6-a59c-6d79fe730de4,MEDIA,,,,,,5bdc9f_cdc2fa3b3d8c45d6819f70e3ff826218~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_85c01702-3bbf-446e-88e3-d0b25a1680c9,PRODUCT,Fiber Base - Clear,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)""> 15 ml.</span></p><p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">La base transparente Purple Professional Fiber Base</span><span style=""background-color: rgb(255, 255, 255); color: rgba(74, 74, 74, 0.75)""> est une base résistante et flexible, composée de fibres synthétiques, de vitamine E et de calcium. Elle est conçue pour soutenir les ongles fragiles présentant des vergetures et des irrégularités de surface. Elle lisse les stries, renforce la plaque de l'ongle et offre une base solide pour les extensions telles que le vernis semi-permanent, le gel de construction ou les systèmes hybrides. Elle permet également la réalisation d'extensions légères jusqu'à </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">2-3 mm</span><span style=""background-color: rgb(255, 255, 255); color: rgba(74, 74, 74, 0.75)""> avec des chablons.</span></p>",purple;fiber-base,purple,,,,,11.41,,,,,,7.98,OUT_OF_STOCK,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_85c01702-3bbf-446e-88e3-d0b25a1680c9,MEDIA,,,,,,5bdc9f_0840a4d1eaa54e549e4f509d07bb5cec~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_85c01702-3bbf-446e-88e3-d0b25a1680c9,MEDIA,,,,,,5bdc9f_abd4d8d16120468d873fa2813d70760c~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
